name,region,date
HQ234499_MY_1966,Malaysia,1966
KX377336_MY_1966,Malaysia,1966
KX601167_MY_1966,Malaysia,1966
KX694533_MY_1966,Malaysia,1966
MG645981_TH_1984,Thailand,1984
EU545988_FM_2007,Micronesia,2007
JN860885_KH_2010,Cambodia,2010
KU955593_KH_2010,Cambodia,2010
MH158236_KH_2010,Cambodia,2010
KU681082_PH_2012,Philippines,2012
KJ776791_PF_2013,French Polynesia,2013
KX051560_TH_2013,Thailand,2013
KX051561_TH_2013,Thailand,2013
KX369547_PF_2013,French Polynesia,2013
KX447509_PF_2013,French Polynesia,2013
KX447510_PF_2013,French Polynesia,2013
KX447512_PF_2013,French Polynesia,2013
KX447513_PF_2013,French Polynesia,2013
KX447515_PF_2013,French Polynesia,2013
KX447519_PF_2013,French Polynesia,2013
KX694532_TH_2013,Thailand,2013
KY766069_PF_2013,French Polynesia,2013
MG827392_PF_2013,French Polynesia,2013
KU179098_ID_2014,Indonesia,2014
KU509998_HT_2014,Haiti,2014
KU681081_TH_2014,Thailand,2014
KX447511_PF_2014,French Polynesia,2014
KX447514_PF_2014,French Polynesia,2014
KX447516_PF_2014,French Polynesia,2014
KX447517_PF_2014,French Polynesia,2014
KX447520_PF_2014,French Polynesia,2014
KX447521_PF_2014,French Polynesia,2014
KY415986_HT_2014,Haiti,2014
KY415987_HT_2014,Haiti,2014
KY415988_HT_2014,Haiti,2014
KY415989_HT_2014,Haiti,2014
KY415990_HT_2014,Haiti,2014
KY415991_HT_2014,Haiti,2014
KR872956_BR_2015,Brazil,2015
KU312312_SR_2015,Suriname,2015
KU321639_BR_2015,Brazil,2015
KU365777_BR_2015,Brazil,2015
KU365778_BR_2015,Brazil,2015
KU365779_BR_2015,Brazil,2015
KU365780_BR_2015,Brazil,2015
KU497555_BR_2015,Brazil,2015
KU501215_PR_2015,Puerto Rico,2015
KU501216_GT_2015,Guatemala,2015
KU501217_GT_2015,Guatemala,2015
KU527068_BR_2015,Brazil,2015
KU647676_MQ_2015,Martinique,2015
KU707826_BR_2015,Brazil,2015
KU729217_BR_2015,Brazil,2015
KU729218_BR_2015,Brazil,2015
KU758877_GF_2015,French Guiana,2015
KU820897_CO_2015,Colombia,2015
KU940224_BR_2015,Brazil,2015
KU940228_BR_2015,Brazil,2015
KX051562_TH_2015,Thailand,2015
KX087101_PR_2015,Puerto Rico,2015
KX087102_CO_2015,Colombia,2015
KX156774_PA_2015,Panama,2015
KX156775_PA_2015,Panama,2015
KX156776_PA_2015,Panama,2015
KX197192_BR_2015,Brazil,2015
KX197205_BR_2015,Brazil,2015
KX247632_MX_2015,Mexico,2015
KX280026_BR_2015,Brazil,2015
KX377337_PR_2015,Puerto Rico,2015
KX520666_BR_2015,Brazil,2015
KX548902_CO_2015,Colombia,2015
KX601168_PR_2015,Puerto Rico,2015
KX694534_HN_2015,Honduras,2015
KY559001_BR_2015,Brazil,2015
KY559003_BR_2015,Brazil,2015
KY631493_MX_2015,Mexico,2015
KY631494_MX_2015,Mexico,2015
KY989971_DO_2015,Dominican Republic,2015
MF073358_BR_2015,Brazil,2015
MF073359_BR_2015,Brazil,2015
MF352141_BR_2015,Brazil,2015
MF574552_CO_2015,Colombia,2015
MF574553_CO_2015,Colombia,2015
MF574554_CO_2015,Colombia,2015
MF574555_CO_2015,Colombia,2015
MF574556_CO_2015,Colombia,2015
MF574557_CO_2015,Colombia,2015
MF574558_CO_2015,Colombia,2015
MF574559_CO_2015,Colombia,2015
MF574560_CO_2015,Colombia,2015
MF574561_CO_2015,Colombia,2015
MF574562_CO_2015,Colombia,2015
MF574563_CO_2015,Colombia,2015
MF574564_CO_2015,Colombia,2015
MF574565_CO_2015,Colombia,2015
MF574566_CO_2015,Colombia,2015
MF574567_CO_2015,Colombia,2015
MF574568_CO_2015,Colombia,2015
MF574569_CO_2015,Colombia,2015
MF574570_CO_2015,Colombia,2015
MF574571_CO_2015,Colombia,2015
MF574572_CO_2015,Colombia,2015
MF574573_CO_2015,Colombia,2015
MF574574_CO_2015,Colombia,2015
MF574575_CO_2015,Colombia,2015
MF574576_CO_2015,Colombia,2015
MF574577_CO_2015,Colombia,2015
MH158237_PR_2015,Puerto Rico,2015
MH179341_CO_2015,Colombia,2015
MH513598_BR_2015,Brazil,2015
MH513599_BR_2015,Brazil,2015
MH513600_BR_2015,Brazil,2015
MK028857_PR_2015,Puerto Rico,2015
MK028858_PA_2015,Panama,2015
MK028859_PA_2015,Panama,2015
MK028861_PA_2015,Panama,2015
MK713748_PR_2015,Puerto Rico,2015
MN100039_PA_2015,Panama,2015
MN124090_PA_2015,Panama,2015
MN124091_PA_2015,Panama,2015
NC_035889_BR_2015,Brazil,2015
DOPRS133_USA-FL_2016,USA,2016
KU740184_CN_2016,China,2016
KU744693_CN_2016,China,2016
KU761560_CN_2016,China,2016
KU761561_CN_2016,China,2016
KU761564_CN_2016,China,2016
KU820898_CN_2016,China,2016
KU820899_CN_2016,China,2016
KU853012_IT_2016,Italy,2016
KU853013_IT_2016,Italy,2016
KU866423_CN_2016,China,2016
KU870645_US_2016,USA,2016
KU922923_MX_2016,Mexico,2016
KU922960_MX_2016,Mexico,2016
